RUN_ID,INVOICE_UUID,DOCUMENT_NAME,AGENTIC_DOC_VERSION,LINE_INDEX,LINE_NUMBER,SKU,DESCRIPTION,QUANTITY,UNIT_PRICE,PRICE,AMOUNT,TOTAL
ab51eee8-43ab-4c60-974f-d37043e93f76,dfb98d68-9dd7-474e-a03a-b77cc8465db9,invoice_14.pdf,dpt-2-20250919,4,005.00,378874,"the sssnake DD1015, Minijack Mono - Minijack Mono Patchkabel, Length 15cm, 6 pcs. per Set",1.0,8.05,,8.05,8.05
ab51eee8-43ab-4c60-974f-d37043e93f76,e396238d-7846-4950-aa90-8af0c316f2d4,invoice_12.pdf,dpt-2-20250919,0,1,,KROPP/ANDREA KASTRUP,,,,1001.23,
ab51eee8-43ab-4c60-974f-d37043e93f76,e396238d-7846-4950-aa90-8af0c316f2d4,invoice_12.pdf,dpt-2-20250919,1,,,"Taxes, fees and other surcharges in total",,,,188.75,
ab51eee8-43ab-4c60-974f-d37043e93f76,e396238d-7846-4950-aa90-8af0c316f2d4,invoice_12.pdf,dpt-2-20250919,2,,,"Seat reservation 34A, 36A FK: ZYIM6E",,,,100.0,
ab51eee8-43ab-4c60-974f-d37043e93f76,e396238d-7846-4950-aa90-8af0c316f2d4,invoice_12.pdf,dpt-2-20250919,3,2,,KROPP/KARL,,,,1001.23,
ab51eee8-43ab-4c60-974f-d37043e93f76,e396238d-7846-4950-aa90-8af0c316f2d4,invoice_12.pdf,dpt-2-20250919,4,,,ROBERT,,,,,
ab51eee8-43ab-4c60-974f-d37043e93f76,e396238d-7846-4950-aa90-8af0c316f2d4,invoice_12.pdf,dpt-2-20250919,5,,,"Taxes, fees and other surcharges in total",,,,188.75,
ab51eee8-43ab-4c60-974f-d37043e93f76,e396238d-7846-4950-aa90-8af0c316f2d4,invoice_12.pdf,dpt-2-20250919,6,,,"Seat reservation 34C, 36C",,,,100.0,
ab51eee8-43ab-4c60-974f-d37043e93f76,371b2d4a-63e9-468b-8275-f878220c0a8f,invoice_10.pdf,dpt-2-20250919,0,,RT459,Room Chrg - Premium Retail,,,322.0,322.0,322.0
ab51eee8-43ab-4c60-974f-d37043e93f76,371b2d4a-63e9-468b-8275-f878220c0a8f,invoice_10.pdf,dpt-2-20250919,1,,RT459,City/Local Tax,,,4.0,4.0,4.0
ab51eee8-43ab-4c60-974f-d37043e93f76,371b2d4a-63e9-468b-8275-f878220c0a8f,invoice_10.pdf,dpt-2-20250919,2,,RT459,Occupancy/Tourism,,,38.8,38.8,38.8
ab51eee8-43ab-4c60-974f-d37043e93f76,371b2d4a-63e9-468b-8275-f878220c0a8f,invoice_10.pdf,dpt-2-20250919,3,,RT459,Room Chrg - Premium Retail,,,322.0,322.0,322.0
ab51eee8-43ab-4c60-974f-d37043e93f76,371b2d4a-63e9-468b-8275-f878220c0a8f,invoice_10.pdf,dpt-2-20250919,4,,RT459,City/Local Tax,,,4.0,4.0,4.0
ab51eee8-43ab-4c60-974f-d37043e93f76,371b2d4a-63e9-468b-8275-f878220c0a8f,invoice_10.pdf,dpt-2-20250919,5,,RT459,Occupancy/Tourism,,,38.8,38.8,38.8
ab51eee8-43ab-4c60-974f-d37043e93f76,371b2d4a-63e9-468b-8275-f878220c0a8f,invoice_10.pdf,dpt-2-20250919,6,,RT459,Room Chrg - Premium Retail,,,265.0,265.0,265.0
ab51eee8-43ab-4c60-974f-d37043e93f76,371b2d4a-63e9-468b-8275-f878220c0a8f,invoice_10.pdf,dpt-2-20250919,7,,RT459,City/Local Tax,,,4.0,4.0,4.0
ab51eee8-43ab-4c60-974f-d37043e93f76,371b2d4a-63e9-468b-8275-f878220c0a8f,invoice_10.pdf,dpt-2-20250919,8,,RT459,Occupancy/Tourism,,,31.93,31.93,31.93
ab51eee8-43ab-4c60-974f-d37043e93f76,4b1db45a-6de2-4bda-94d3-c606276bb1ce,invoice_27.pdf,dpt-2-20250919,0,,,Tennis Book - High School(2),68.0,0.95,,64.3,
ab51eee8-43ab-4c60-974f-d37043e93f76,4b1db45a-6de2-4bda-94d3-c606276bb1ce,invoice_27.pdf,dpt-2-20250919,1,,,Spiro Coloring - Keywords,43.0,0.76,,32.59,
ab51eee8-43ab-4c60-974f-d37043e93f76,4b1db45a-6de2-4bda-94d3-c606276bb1ce,invoice_27.pdf,dpt-2-20250919,2,,,Spiro Coloring - Product Targeting,20.0,0.35,,7.03,
ab51eee8-43ab-4c60-974f-d37043e93f76,0326bf0d-a1ea-4f1b-925f-a13a0094877e,invoice_3.pdf,dpt-2-20250919,0,,,Provide and install new 60 Amp 240Vac breaker and 6/2 Copper SE cable feeding new Tesla Wall connector. Install new customer supplied Tesla wall connector. Note: drywall may need to be cut to facilitate work. No drywall repairs or painting are included in this quote.,1.0,1400.0,,1400.0,
ab51eee8-43ab-4c60-974f-d37043e93f76,0326bf0d-a1ea-4f1b-925f-a13a0094877e,invoice_3.pdf,dpt-2-20250919,1,,,Permit and inspection fees,1.0,150.0,,150.0,
ab51eee8-43ab-4c60-974f-d37043e93f76,0326bf0d-a1ea-4f1b-925f-a13a0094877e,invoice_3.pdf,dpt-2-20250919,2,,,"Payment Terms: by Cash or Check, All sales final. $750.00 deposit at acceptance of contract balance due upon substantial completion of work. Agreement to include conditions of agreement addendum Clarifications: It is agreed that during the performance of the work drywall will/may be cut at the discretion of the contractor, this quotation does not include any drywall or painting repair or touchup. Parking to be provided onsite for all working personnel. Work will be completed during normal hours from 8:00 AM to 5:00 PM Monday thru Friday, unless approved otherwise. No additional components will be installed outside the scope of work enclosed. All fixtures and lamps are to be furnished on-site by others. Excluded from Bid: Repairs or corrections to existing plumbing, gas, or electrical system deficiencies or code violations. Repairs to any underground utilities (such as sprinkler lines, electrical lines, cable, etc.) not located and clearly marked prior to arrival on-site. Engineered drawings Utility power consumption.",1.0,0.0,,0.0,
ab51eee8-43ab-4c60-974f-d37043e93f76,276837d7-936e-436c-96a1-1889b88f300d,invoice_18.pdf,dpt-2-20250919,0,,02102007-DP,Polo Bear Gang **NEW ACCOUNT**,24.0,6.0,,144.0,144.0
ab51eee8-43ab-4c60-974f-d37043e93f76,276837d7-936e-436c-96a1-1889b88f300d,invoice_18.pdf,dpt-2-20250919,1,,02102008-DP,Water polo stamps **NEW ACCOUNT**,24.0,5.25,,126.0,126.0
ab51eee8-43ab-4c60-974f-d37043e93f76,f1bd7175-d14b-494b-853b-d6b634bd1628,invoice_26.pdf,dpt-2-20250919,0,,,"Deck Replace (3) existing deck per sketch (600sf). Price includes: - demo and disposal of existing - new pressure treated framing, footings/piers and brackets - Trex Select Decking with picture framing (Lava Rock) - Trex hidden fastening system - Trex fascia & stair risers - Trex 50 year materials warranty - Trex 5 year labor warranty for Pro Platinur installation",0.7,29515.0,,20660.5,
ab51eee8-43ab-4c60-974f-d37043e93f76,f1bd7175-d14b-494b-853b-d6b634bd1628,invoice_26.pdf,dpt-2-20250919,1,,,"Railing 118LF of American Structures aluminum picket railing, 36""h, TR200 toprail on deck, Black. This is quoted with a TOP of deck surfact mount posts.",0.7,12154.0,,8507.8,
ab51eee8-43ab-4c60-974f-d37043e93f76,f1bd7175-d14b-494b-853b-d6b634bd1628,invoice_26.pdf,dpt-2-20250919,2,,,"Deck Add Metal roofing panel under the upper side deck, white. Includes a gutter and downspout, color white",0.7,2675.0,,1872.5,
ab51eee8-43ab-4c60-974f-d37043e93f76,f1bd7175-d14b-494b-853b-d6b634bd1628,invoice_26.pdf,dpt-2-20250919,3,,,"Lighting Dekor Dot lighting along edge of front entry deck/bridge and upper deck. 28 lights total with all wiring, timers and/or remotes.",1.0,2610.0,,2610.0,
ab51eee8-43ab-4c60-974f-d37043e93f76,3d8bb67d-d96e-4564-b9f0-9438500cee6d,invoice_2.pdf,dpt-2-20250919,0,,,Replace HVAC Unit.,1.0,2650.0,,2650.0,2650.0
ab51eee8-43ab-4c60-974f-d37043e93f76,6f42c961-66c2-4bda-ad61-66c8fc8e1787,invoice_19.pdf,dpt-2-20250919,0,,,Harvest Hosts,,,159.0,159.0,
ab51eee8-43ab-4c60-974f-d37043e93f76,6f42c961-66c2-4bda-ad61-66c8fc8e1787,invoice_19.pdf,dpt-2-20250919,1,,,Annual Harvest Hosts + Golf + Boondockers Welcome Subscription (Billed Every 365 Days),,,,,
ab51eee8-43ab-4c60-974f-d37043e93f76,7538ac9c-61de-49dc-971a-65286550dd0a,invoice_1.pdf,dpt-2-20250919,0,,,Charge Name: Standard Pro Annual Quantity: 1 Unit Price: $149.90,1.0,149.9,,149.9,149.9
ab51eee8-43ab-4c60-974f-d37043e93f76,895c7287-1af3-4901-96d8-122189a4a5a4,invoice_15.pdf,dpt-2-20250919,0,1,100858625_PK-1 246231949,11% off on Bundle of Knorr Chilli Garlic Ketchup 300gm and Knorr Tomato Ketchup 300gm,1.0,147.0,,147.0,147.0
ab51eee8-43ab-4c60-974f-d37043e93f76,253bd0e1-79c7-4394-a62c-a2c0d14fef9c,invoice_21.pdf,dpt-2-20250919,0,,,"Standard Plan Jul 1 - Aug 1, 2024",1.0,30.0,,30.0,
ab51eee8-43ab-4c60-974f-d37043e93f76,9fad760d-417b-47a4-b4e8-f1e896479edc,invoice_24.pdf,dpt-2-20250919,0,,,The Eatery Dinner Beer Standard VAT,,,15.0,15.0,15.0
ab51eee8-43ab-4c60-974f-d37043e93f76,9fad760d-417b-47a4-b4e8-f1e896479edc,invoice_24.pdf,dpt-2-20250919,1,,,City Tax 0%,,,4.0,4.0,4.0
ab51eee8-43ab-4c60-974f-d37043e93f76,9fad760d-417b-47a4-b4e8-f1e896479edc,invoice_24.pdf,dpt-2-20250919,2,,,Accommodation,,,162.0,162.0,162.0
ab51eee8-43ab-4c60-974f-d37043e93f76,71388288-7baf-4fbe-b71a-3abab7120078,invoice_5.pdf,dpt-2-20250919,0,,,Suite 2009,1.0,271.0,,271.0,
ab51eee8-43ab-4c60-974f-d37043e93f76,71388288-7baf-4fbe-b71a-3abab7120078,invoice_5.pdf,dpt-2-20250919,1,,,Suite 2009 Internet Fee,1.0,75.0,,75.0,
ab51eee8-43ab-4c60-974f-d37043e93f76,c5616247-36e6-4215-8ca5-ec0fde10c3ef,invoice_20.pdf,dpt-2-20250919,0,,,"Starter Plan (Monthly) May 26 – Jun 26, 2024",1.0,13.0,,13.0,
ab51eee8-43ab-4c60-974f-d37043e93f76,c5616247-36e6-4215-8ca5-ec0fde10c3ef,invoice_20.pdf,dpt-2-20250919,1,,,Sales Tax,1.0,1.14,,1.14,
ab51eee8-43ab-4c60-974f-d37043e93f76,dd0786b6-3fae-480c-ad0c-07dd2173ba13,invoice_22.pdf,dpt-2-20250919,0,,ST350,Sport-Tek Competitor Tee,3.0,13.95,,41.85,
ab51eee8-43ab-4c60-974f-d37043e93f76,dd0786b6-3fae-480c-ad0c-07dd2173ba13,invoice_22.pdf,dpt-2-20250919,1,,ST350,Sport-Tek Competitor Tee,12.0,13.95,,167.4,
ab51eee8-43ab-4c60-974f-d37043e93f76,dd0786b6-3fae-480c-ad0c-07dd2173ba13,invoice_22.pdf,dpt-2-20250919,2,,ST350,Sport-Tek Competitor Tee,4.0,13.95,,55.8,
ab51eee8-43ab-4c60-974f-d37043e93f76,dd0786b6-3fae-480c-ad0c-07dd2173ba13,invoice_22.pdf,dpt-2-20250919,3,,ST350,Sport-Tek Competitor Tee,1.0,13.95,,13.95,
ab51eee8-43ab-4c60-974f-d37043e93f76,6cd15ad5-4204-425c-b928-5c59bb62b3c4,invoice_4.pdf,dpt-2-20250919,0,30,110947,"HD Graphite Canvas 6""x 50yds 50 yards/roll",1.0,734.27,,734.27,
ab51eee8-43ab-4c60-974f-d37043e93f76,6cd15ad5-4204-425c-b928-5c59bb62b3c4,invoice_4.pdf,dpt-2-20250919,1,40,102044,"3M 777F RBC Belt 6""x202"" 60YF 10belts/case (+/-10%)",20.0,68.45,,1369.0,
ab51eee8-43ab-4c60-974f-d37043e93f76,6cd15ad5-4204-425c-b928-5c59bb62b3c4,invoice_4.pdf,dpt-2-20250919,2,50,102046,"3M 777F RBC Belt 6""x202"" 80YF 10belts/case (+/-10%)",10.0,63.98,,639.8,
ab51eee8-43ab-4c60-974f-d37043e93f76,b807d00a-d175-4e39-a5ac-48da2c8a3614,invoice_6.pdf,dpt-2-20250919,0,001,DR6192-700,Nike Air Zoom Vapor Pro 2 (W) (Sundial),1.0,60.0,,60.0,60.0
ab51eee8-43ab-4c60-974f-d37043e93f76,b807d00a-d175-4e39-a5ac-48da2c8a3614,invoice_6.pdf,dpt-2-20250919,1,002,XBLUE,***2-DAY AIR***,1.0,0.0,,0.0,0.0
ab51eee8-43ab-4c60-974f-d37043e93f76,b807d00a-d175-4e39-a5ac-48da2c8a3614,invoice_6.pdf,dpt-2-20250919,2,003,,/////////////,1.0,0.0,,0.0,0.0
ab51eee8-43ab-4c60-974f-d37043e93f76,4855d0b8-bb5e-43bb-8083-9eac7b5e8417,invoice_25.pdf,dpt-2-20250919,0,,,SYNTHETIC 33-POINT SERVICE,1.0,105.99,,105.99,
ab51eee8-43ab-4c60-974f-d37043e93f76,4855d0b8-bb5e-43bb-8083-9eac7b5e8417,invoice_25.pdf,dpt-2-20250919,1,,,WASTE DISPOSAL FEE,1.0,4.5,,4.5,
ab51eee8-43ab-4c60-974f-d37043e93f76,4855d0b8-bb5e-43bb-8083-9eac7b5e8417,invoice_25.pdf,dpt-2-20250919,2,,,CHARITABLE DONATION- $1,1.0,1.0,,1.0,
ab51eee8-43ab-4c60-974f-d37043e93f76,4855d0b8-bb5e-43bb-8083-9eac7b5e8417,invoice_25.pdf,dpt-2-20250919,3,,,OTHER,1.0,0.0,,0.0,
ab51eee8-43ab-4c60-974f-d37043e93f76,4855d0b8-bb5e-43bb-8083-9eac7b5e8417,invoice_25.pdf,dpt-2-20250919,4,,"T108, T111TB",OIL SYSTEM CLEANER 8 OZ. ENGINE MAX TREATMENT,1.0,16.99,,16.99,
ab51eee8-43ab-4c60-974f-d37043e93f76,4855d0b8-bb5e-43bb-8083-9eac7b5e8417,invoice_25.pdf,dpt-2-20250919,5,,"T111, 12449",W/PTFE 11OZ 12MM NISSAN COPPER GASKET,1.0,19.99,,19.99,
ab51eee8-43ab-4c60-974f-d37043e93f76,4855d0b8-bb5e-43bb-8083-9eac7b5e8417,invoice_25.pdf,dpt-2-20250919,6,,"DP6925, DPG-6925, PL14612",PUROLATOR ONE PREMIUM,1.0,0.0,,0.0,
ab51eee8-43ab-4c60-974f-d37043e93f76,4855d0b8-bb5e-43bb-8083-9eac7b5e8417,invoice_25.pdf,dpt-2-20250919,7,,"PL14612, PG4612EX, POS4612, PAF4727",AIR FILTER #PAF4727,1.0,14.99,,14.99,
ab51eee8-43ab-4c60-974f-d37043e93f76,4855d0b8-bb5e-43bb-8083-9eac7b5e8417,invoice_25.pdf,dpt-2-20250919,8,,"AF7845, A4727, CHS530",5W30 SYNTH,1.0,28.67,,28.67,
ab51eee8-43ab-4c60-974f-d37043e93f76,4855d0b8-bb5e-43bb-8083-9eac7b5e8417,invoice_25.pdf,dpt-2-20250919,9,,CHS530,CHEVRON/HAVOLINE API GF5SN+/DEXOS G CHS530 - 5W30 SYNTH,0.1,1.2,,1.2,
ab51eee8-43ab-4c60-974f-d37043e93f76,4855d0b8-bb5e-43bb-8083-9eac7b5e8417,invoice_25.pdf,dpt-2-20250919,10,,CHTECHRON,TECHRON FUEL SYSTEM CLEANER 20 OZ.,1.0,16.99,,16.99,
ab51eee8-43ab-4c60-974f-d37043e93f76,7b41284f-b4a4-4d94-8a36-064d8f6b0c1a,invoice_7.pdf,dpt-2-20250919,0,,493665043,"OnePlus 11 5G 128 GB, 8 GB Ram, Eternal Green, Mobile Phone SNo/IMEI: 865111062487193,865111062487193",1.0,48304.24,,48304.24,56999.0
ab51eee8-43ab-4c60-974f-d37043e93f76,b29bd092-49ea-4410-9eff-d52c0f184640,invoice_23.pdf,dpt-2-20250919,0,,GMM2C6,Vector Seamless Dash Diagonal Parallel Line Halfton Pattern,1.0,45.0,,45.0,
